Date,Volume,High,Low,Close,,
8/7/2019,18000,19,18.25,18.25,,
8/8/2019,47500,19,18.25,18.5,,
8/9/2019,73900,20,18.25,19,,
8/10/2019,83300,20.5,19,19.75,,
8/11/2019,27200,20.25,19.5,19.5,,
8/14/2019,8800,20.25,19.5,20,,
8/15/2019,387900,20.5,19.5,20.5,,
8/16/2019,256200,21.75,20.25,21.5,,
8/17/2019,40800,22.5,21.25,21.25,,
8/18/2019,47900,22,20.75,21,,
8/21/2019,33800,21.25,20.25,20.5,,
8/22/2019,27200,21,20.25,20.25,,
8/23/2019,12200,21,20.25,21,,
8/24/2019,17000,21.25,20.25,20.25,,
8/25/2019,27000,21,20.25,21,,
8/28/2019,11500,21,20,21,,
8/29/2019,60800,22.5,21,22.5,,
8/30/2019,204800,24.25,21.75,22.75,,
8/31/2019,25600,23.25,21.25,21.75,,
9/1/2019,10900,22,21.5,22,,
9/4/2019,14500,22.25,21.625,22.25,,
9/5/2019,42000,23,21.75,22.25,,
9/6/2019,41400,23.25,22.25,22.75,,
9/7/2019,42700,23,21.75,21.75,,
9/8/2019,25000,22,20.75,21.5,,
9/11/2019,86000,21.5,19.75,20,,
9/12/2019,36600,20.5,19.75,20,,
9/13/2019,38400,20.25,18.5,19.25,,
9/14/2019,404600,21.625,19.25,20.75,,
9/15/2019,109200,22.5,20.75,22.25,,
9/18/2019,42600,22.25,21,21.375,,
9/19/2019,6800,21.75,21,21,,
9/20/2019,51400,21.75,21,21.5,,
9/21/2019,424300,21.5,17.5,19.25,,
9/22/2019,561000,19.25,15,16.5,,
9/25/2019,124400,17.5,16.5,17.125,,
9/26/2019,100900,18,17,18,,
9/27/2019,148100,17.75,16.5,17.25,,
9/28/2019,128200,17.25,15.75,16.375,,
9/29/2019,22400,16.75,16,16.75,,
10/2/2019,30000,16.75,15.75,16.5,,
10/3/2019,164100,17.75,15.75,17.75,,
10/4/2019,118400,19.25,17.375,18.375,,
10/5/2019,31300,18.75,18,18.5,,
10/6/2019,109400,19.5,18,18.75,,
10/9/2019,29100,19,18.25,18.75,,
10/10/2019,68100,19.25,18.25,18.5,,
10/11/2019,108300,18.75,17.875,17.875,,
10/12/2019,98800,18,17.75,17.75,,
10/13/2019,49100,18.5,17.5,18,,
10/16/2019,3600,18.5,17.5,18.5,,
10/17/2019,148300,18.25,15.75,17.5,,
10/18/2019,90500,17.75,17,17.75,,
10/19/2019,50200,17.75,17,17.125,,
10/20/2019,44800,18.5,17,18.5,,
10/23/2019,58000,19.5,18,19.5,,
10/24/2019,41300,20.5,18.5,19.25,,
10/25/2019,36800,19.625,18.5,18.5,,
10/26/2019,45200,19.25,16.75,16.75,,
